Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,Bengaluru,InsureTech,"Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",Series A,Riskcovry,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.",5000000.0
2012-01-01,Gurugram,Gaming,Gautam Virk,Krafton,Series H,NODWIN,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,20000000.0
2015-01-01,Bengaluru,EdTech,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",Series A,Quizizz,Quizizz is a Education based startup,12500000.0
2012-01-01,New Delhi,E-commerce,Prabhkiran Singh,"CDC Group, Partners Group",Seed,Ecom Express,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,20000000.0
2015-01-01,Mumbai,InsureTech,"Aman Gupta, Sameer Mehta",Jungle Ventures,Series D,Turtlemint,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,45000000.0
2019-01-01,Bengaluru,Supply chain platform,Utham Gowda,"Matrix Partners India, Ankur Capital",Seed,Captain Fresh,Captain Fresh is a freshwater fish and seafood supply chain platform.,3000000.0
2008-01-01,Chennai,Finance,"Ashneer Grover, Shashvat Nakrani",Tiger Global,Series D,Northern Arc,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,10000000.0
2020-01-01,Bengaluru,Social platform,"Vimal Singh Rathore, Aseem Gupta",Angel investors,Seed,Qoohoo,A platform for creators to build immersive connections with their fans and followers and monetize them.,800000.0
2016-01-01,Mumbai,Gaming,Yash Pariani,"Hungama, Hindustan Talkies",Seed Round,IGL,Indian Gaming League is the premier eSports platform in India.,500000.0
2018-01-01,Gurugram,E-commerce,Shubham Gupta,Agility Venture Partners,Seed,AMPM,24*7 convenience store,200000.0
2016-01-01,Chennai,Drone,"Byju Raveendran, Divya Gokulnath","Speciale Invest, Farid Ahsan",Seed,The ePlane,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications",1000000.0
2009-01-01,Gurugram,E-commerce,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",Series G,Cashify,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,15000000.0
2014-01-01,New Delhi,B2B service,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij","Sequoia Capital India, Matrix Partners India",Early Seed,Bijnis,Digitizing the Factories of the Unorganised Industries.,3000000.0
2020-01-01,Gurugram,EdTech,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, AET Fund",Seed,Questt,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,1000000.0
2018-01-01,Jaipur,E-commerce,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",Seed,DealShare,DealShare is a Social Commerce Startup,3000000.0
2018-01-01,New Delhi,Transport,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",Series A,Euler Motors,Electric Light Commercial Vehicle,4000000.0
2011-01-01,Mumbai,Finance,"Karthik Reddy, Sanjay Nath",Avendus,Series A+,Blume Ventures,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,40000000.0
2018-01-01,Bengaluru,Finance,Praphul Chandra,YourNest,Venture - Series Unknown,KoineArth,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",1800000.0
2013-01-01,Pune,EdTech,Vidhika Rohatgi,Venture Catalysts,Series I,ImaginXP,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,1500000.0
2018-01-01,Gurugram,EdTech,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja","National Skill Development Corporation, Rianta Capital",Series I,Virohan,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,3000000.0
2019-01-01,Bengaluru,Recruitment,Nirmit Parikh,"Sequoia Capital India, Rocketship.vc",Series G,Apna.co,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,12500000.0
2007-01-01,Mumbai,Drone,"Ankit Mehta, Ashish Bhat","Infosys, Qualcomm Ventures",Series D1,ideaForge,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,2000000.0
2018-01-01,Bengaluru,CleanTech,Aayush Jha,"Real Estate Accelerator Program (REAP), AngelList",Series C,Clairco,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,500000.0
2008-01-01,Chennai,Finance,"Byju Raveendran, Divya Gokulnath",Kalaari Capital,Series D1,Northern Arc,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,50000000.0
2010-01-01,"Faridabad, Haryana",Fashion,"Amit Chaudhary, Peyush Bansal","Kohlberg Kravis Roberts, Temasek Holdings",Bridge,Lenskart,Lenskart is an India-based online shopping portal for eyewear.,95000000.0
2018-01-01,New Delhi,Transport,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",Seed,ParkSmart,ParkSmart is a parking management application.,3000000.0
2018-01-01,Gurugram,EdTech,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Rebright Partners, Wadhwani Foundation",Series A,Virohan,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,3000000.0
2019-01-01,New Delhi,Finance,Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",Seed,BankSathi,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",200000.0
2020-01-01,Bengaluru,EdTech,Anushree Goenka,Better Capital,Seed,Spark Studio,Online courses to build creativity and confidence in children through extra-curricular learning,3000000.0
2020-01-01,Bengaluru,Fashion,Minu Margeret,Elevation Capital,Seed,BlissClub,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",2000000.0
2018-01-01,Bengaluru,Real estate,Madhusudhan,Angel investors,Debt Financing,BricSpaces,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",350000.0
2008-01-01,Bengaluru,Consulting,Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund",Series B,ANSR,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.",15000000.0
2016-01-01,Pune,AI company,Amal P S,We Founder Circle,Seed,Keito,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises",3000000.0
2019-01-01,Gurugram,Sports startup,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman",Seed,Reccy Adventures,Reccy Adventures is an adventure sports startup.,400000.0
